Unique Word,Year,Count,Fitted Value,Area Ratio
multi-pass sieve,2010.0,1,1.0,0.9971784557262934
multi-pass sieve,2011.0,1,0.9687721,0.9971784557262934
multi-pass sieve,2013.0,1,0.75161356,0.9971784557262934
multi-pass sieve,2016.0,1,0.31913793,0.9971784557262934
multi-pass sieve,2021.0,1,0.021518713,0.9971784557262934
proportion,1973.0,1,0.022719871,0.5265068751804969
proportion,1996.0,1,0.6858685,0.5265068751804969
proportion,2005.0,1,1.3763785,0.5265068751804969
proportion,2012.0,1,1.8469659,0.5265068751804969
text to speech synthesis,1995.0,1,1.0,0.993318783650429
proportion,2018.0,2,2.0,0.5265068751804969
text to speech synthesis,1996.0,1,0.9894599,0.993318783650429
machine translate,2012.0,2,2.1256573,0.9736177035533923
proportion,2019.0,1,1.9955825,0.5265068751804969
text to speech synthesis,1998.0,1,0.90904176,0.993318783650429
text to speech synthesis,2012.0,1,0.046782244,0.993318783650429
machine translate,2013.0,1,2.5740676,0.9736177035533923
machine translate,2014.0,1,2.8873267,0.9736177035533923
machine translate,2015.0,3,3.0,0.9736177035533923
machine translate,2017.0,1,2.5740676,0.9736177035533923
machine translate,2021.0,1,0.75615215,0.9736177035533923
machine translate,2022.0,2,0.45970568,0.9736177035533923
panacea,1987.0,1,0.8579359,0.651825933927887
panacea,2010.0,1,1.97759,0.651825933927887
panacea,2011.0,2,1.9900087,0.651825933927887
panacea,2012.0,1,1.9974974,0.651825933927887
panacea,2013.0,2,2.0,0.651825933927887
panacea,2021.0,1,1.8459927,0.651825933927887
graph networks,2019.0,4,4.0,0.9925107251494859
graph networks,2021.0,1,1.1058122,0.9925107251494859
graph networks,2022.0,1,0.22167061,0.9925107251494859
ascent,1991.0,1,0.23404478,0.7743398053719992
ascent,2007.0,1,1.7050129,0.7743398053719992
ascent,2013.0,2,2.0,0.7743398053719992
ascent,2018.0,1,1.7902076,0.7743398053719992
ascent,2021.0,1,1.5060033,0.7743398053719992
lexical encoding,2004.0,1,1.0,0.9371472739323499
lexical encoding,2014.0,1,0.44174734,0.9371472739323499
lexical encoding,2016.0,1,0.30835462,0.9371472739323499
dictionary interfaces,2006.0,1,1.0,0.9910738725993552
dictionary interfaces,2014.0,1,0.22660746,0.9910738725993552
dictionary interfaces,2017.0,1,0.060403943,0.9910738725993552
calendar,1986.0,4,0.46986842,0.8643952375353545
calendar,1987.0,1,0.558253,0.8643952375353545
calendar,2006.0,1,2.9874148,0.8643952375353545
calendar,2007.0,3,3.0,0.8643952375353545
calendar,2008.0,2,2.9874148,0.8643952375353545
calendar,2010.0,1,2.8886156,0.8643952375353545
calendar,2011.0,1,2.80485,0.8643952375353545
calendar,2019.0,1,1.6376336,0.8643952375353545
exter,1988.0,1,0.0066462304,0.8535156426032486
exter,1993.0,1,0.19423373,0.8535156426032486
rees,1980.0,2,0.06758965,0.5656311909351819
exter,1997.0,1,1.1752751,0.8535156426032486
exter,1998.0,1,1.6269598,0.8535156426032486
rees,1982.0,2,0.11670905,0.5656311909351819
cognitive model,1986.0,1,0.003388505,0.5875522970834776
exter,2000.0,2,2.6858332,0.8535156426032486
rees,1983.0,1,0.15179893,0.5656311909351819
exter,2002.0,1,3.6442728,0.8535156426032486
cognitive model,1992.0,1,0.03300595,0.5875522970834776
rees,1985.0,1,0.25159466,0.5656311909351819
exter,2003.0,1,3.955338,0.8535156426032486
rees,1987.0,1,0.40576333,0.5656311909351819
cognitive model,1994.0,1,0.063914664,0.5875522970834776
exter,2004.0,4,4.1116986,0.8535156426032486
cognitive model,1998.0,2,0.20693675,0.5875522970834776
rees,1988.0,2,0.5100474,0.5656311909351819
exter,2005.0,1,4.12062,0.8535156426032486
rees,1989.0,1,0.6367705,0.5656311909351819
970834776
exter,2006.0,1,4.0292053,0.8535156426032486
cognitive model,2006.0,1,1.2055718,0.5875522970834776
rees,1990.0,1,0.7895689,0.5656311909351819
exter,2007.0,3,3.9224322,0.8535156426032486
cognitive model,2007.0,1,1.4221492,0.5875522970834776
rees,1991.0,3,0.97237074,0.5656311909351819
exter,2009.0,1,4.1209536,0.8535156426032486
cognitive model,2008.0,1,1.657228,0.5875522970834776
rees,1992.0,6,1.1893464,0.5656311909351819
exter,2010.0,1,4.6547265,0.8535156426032486
cognitive model,2009.0,1,1.907675,0.5875522970834776
rees,1993.0,2,1.4448395,0.5656311909351819
exter,2011.0,3,5.581396,0.8535156426032486
cognitive model,2010.0,2,2.1692598,0.5875522970834776
rees,1994.0,3,1.7432733,0.5656311909351819
exter,2012.0,3,6.9061317,0.8535156426032486
cognitive model,2011.0,1,2.4367096,0.5875522970834776
rees,1995.0,2,2.0890367,0.5656311909351819
exter,2013.0,3,8.556897,0.8535156426032486
rees,1996.0,1,2.4863448,0.5656311909351819
0834776
exter,2014.0,3,10.38314,0.8535156426032486
cognitive model,2013.0,1,2.9637616,0.5875522970834776
exter,2015.0,1,12.171974,0.8535156426032486
cognitive model,2014.0,2,3.209154,0.5875522970834776
exter,2016.0,3,13.681855,0.8535156426032486
cognitive model,2015.0,3,3.4325976,0.5875522970834776
cognitive model,2016.0,1,3.6269388,0.5875522970834776
cognitive model,2017.0,2,3.7856688,0.5875522970834776
exter,2018.0,15,15.029786,0.8535156426032486
rees,1997.0,3,2.9390793,0.5656311909351819
cognitive model,2018.0,3,3.903283,0.5875522970834776
exter,2019.0,11,14.644074,0.8535156426032486
rees,1998.0,9,3.4506114,0.5656311909351819
970834776
exter,2020.0,10,13.579206,0.8535156426032486
cognitive model,2020.0,4,4.0,0.5875522970834776
rees,1999.0,3,4.023606,0.5656311909351819
exter,2021.0,14,11.980656,0.8535156426032486
cognitive model,2021.0,3,3.9755983,0.5875522970834776
rees,2000.0,6,4.6598234,0.5656311909351819
exter,2022.0,13,10.056014,0.8535156426032486
cognitive model,2022.0,3,3.903283,0.5875522970834776
rees,2001.0,3,5.359919,0.5656311909351819
unwritten,2011.0,1,1.7463956,0.9813719811389852
unwritten,2013.0,2,2.0,0.9813719811389852
rees,2002.0,7,6.1232457,0.5656311909351819
unwritten,2017.0,1,1.1627342,0.9813719811389852
rees,2003.0,8,6.9476805,0.5656311909351819
unwritten,2021.0,2,0.22847137,0.9813719811389852
rees,2004.0,14,7.829475,0.5656311909351819
rees,2005.0,3,8.763149,0.5656311909351819
rees,2006.0,10,9.741424,0.5656311909351819
rees,2007.0,7,10.755222,0.5656311909351819
rees,2008.0,9,11.793724,0.5656311909351819
rees,2009.0,10,12.844503,0.5656311909351819
rees,2010.0,7,13.893714,0.5656311909351819
rees,2011.0,15,14.926363,0.5656311909351819
rees,2012.0,18,15.926649,0.5656311909351819
rees,2013.0,13,16.878332,0.5656311909351819
rees,2014.0,13,17.765167,0.5656311909351819
rees,2015.0,11,18.571363,0.5656311909351819
rees,2016.0,12,19.28204,0.5656311909351819
rees,2017.0,11,19.883684,0.5656311909351819
rees,2018.0,9,20.364578,0.5656311909351819
rees,2019.0,13,20.71518,0.5656311909351819
rees,2020.0,18,20.92843,0.5656311909351819
rees,2021.0,21,21.0,0.5656311909351819
rees,2022.0,6,20.92843,0.5656311909351819
rees,2023.0,1,20.71518,0.5656311909351819
english,1960.0,3,0.016079668,0.7579843552684015
english,1961.0,6,0.02934015,0.7579843552684015
english,1963.0,1,0.08982327,0.7579843552684015
english,1967.0,7,0.6018245,0.7579843552684015
english,1969.0,11,1.3171409,0.7579843552684015
english,1971.0,1,2.5776677,0.7579843552684015
english,1973.0,4,4.511252,0.7579843552684015
english,1975.0,3,7.0625367,0.7579843552684015
english,1976.0,3,8.476683,0.7579843552684015
english,1978.0,1,11.246889,0.7579843552684015
english,1979.0,2,12.442656,0.7579843552684015
english,1980.0,8,13.413056,0.7579843552684015
english,1981.0,7,14.107108,0.7579843552684015
english,1982.0,14,14.5059395,0.7579843552684015
english,1983.0,6,14.63101,0.7579843552684015
english,1984.0,10,14.547879,0.7579843552684015
english,1985.0,5,14.364537,0.7579843552684015
english,1986.0,8,14.223884,0.7579843552684015
english,1987.0,7,14.290725,0.7579843552684015
english,1988.0,12,14.734275,0.7579843552684015
english,1989.0,3,15.70772,0.7579843552684015
english,1990.0,12,17.326866,0.7579843552684015
english,1991.0,10,19.65027,0.7579843552684015
english,1992.0,15,22.66352,0.7579843552684015
english,1993.0,14,26.270384,0.7579843552684015
english,1994.0,29,30.293295,0.7579843552684015
english,1995.0,12,34.484753,0.7579843552684015
english,1996.0,21,38.55008,0.7579843552684015
english,1997.0,21,42.180016,0.7579843552684015
english,1998.0,23,45.090183,0.7579843552684015
english,1999.0,25,47.062553,0.7579843552684015
english,2000.0,47,47.983654,0.7579843552684015
english,2001.0,31,47.874226,0.7579843552684015
english,2002.0,26,46.906162,0.7579843552684015
mva,2014.0,1,1.0,0.9958377267060006
mva,2016.0,1,0.80437714,0.9958377267060006
english,2003.0,45,45.40449,0.7579843552684015
mva,2019.0,1,0.25652114,0.9958377267060006
english,2004.0,66,43.833717,0.7579843552684015
mva,2022.0,1,0.030715337,0.9958377267060006
english,2005.0,48,42.76945,0.7579843552684015
english,2006.0,58,42.85723,0.7579843552684015
english,2007.0,58,44.76012,0.7579843552684015
english,2008.0,73,49.097404,0.7579843552684015
english,2009.0,72,56.376373,0.7579843552684015
english,2010.0,79,66.92118,0.7579843552684015
content features,2012.0,1,1.0,0.992516562948116
english,2011.0,63,80.80444,0.7579843552684015
english,2012.0,113,97.790596,0.7579843552684015
content features,2018.0,1,0.3444558,0.992516562948116
english,2013.0,92,117.302,0.7579843552684015
content features,2022.0,1,0.051791657,0.992516562948116
english,2014.0,114,138.41934,0.7579843552684015
english,2015.0,77,159.92548,0.7579843552684015
english,2016.0,138,180.3961,0.7579843552684015
english,2017.0,81,198.33195,0.7579843552684015
english,2018.0,140,212.31851,0.7579843552684015
english,2019.0,103,221.19049,0.7579843552684015
english,2020.0,224,224.17477,0.7579843552684015
english,2021.0,138,220.98744,0.7579843552684015
english,2022.0,103,211.86656,0.7579843552684015
english,2023.0,3,197.53526,0.7579843552684015
string matching,1994.0,1,1.0,0.8329877003931058
string matching,1995.0,1,0.94309014,0.8329877003931058
string matching,2006.0,1,0.23134102,0.8329877003931058
string matching,2010.0,1,0.9459432,0.8329877003931058
string matching,2011.0,1,1.0086856,0.8329877003931058
string matching,2012.0,1,0.9666076,0.8329877003931058
string matching,2016.0,1,0.62271976,0.8329877003931058
string matching,2017.0,1,0.71148425,0.8329877003931058
string matching,2019.0,1,0.9666076,0.8329877003931058
string matching,2020.0,1,1.0086856,0.8329877003931058
arapaho,2016.0,1,1.0,0.9909005173204605
arapaho,2017.0,1,0.47236657,0.9909005173204605
arapaho,2018.0,1,0.049787067,0.9909005173204605
locuteur,2002.0,1,3.214206,0.8952455406346334
locuteur,2012.0,11,11.0,0.8952455406346334
locuteur,2016.0,7,9.034449,0.8952455406346334
locuteur,2018.0,1,7.0637913,0.8952455406346334
locuteur,2020.0,8,5.005282,0.8952455406346334
word sense annotation,2010.0,2,1.0483426,0.9591343630431615
word sense annotation,2012.0,1,2.0546541,0.9591343630431615
word sense annotation,2014.0,1,2.8764482,0.9591343630431615
word sense annotation,2015.0,3,3.0,0.9591343630431615
word sense annotation,2016.0,2,2.8764482,0.9591343630431615
word sense annotation,2021.0,1,0.660072,0.9591343630431615
edlin,2004.0,4,2.222652,0.9899212004227732
edlin,2006.0,2,2.7832923,0.9899212004227732
edlin,2007.0,1,2.9442906,0.9899212004227732
edlin,2008.0,3,3.0,0.9899212004227732
edlin,2009.0,1,2.9442906,0.9899212004227732
edlin,2012.0,1,2.222652,0.9899212004227732
edlin,2014.0,1,1.5277743,0.9899212004227732
edlin,2015.0,2,1.1973779,0.9899212004227732
edlin,2016.0,2,0.9039035,0.9899212004227732
edlin,2017.0,1,0.6572516,0.9899212004227732
edlin,2018.0,2,0.4603201,0.9899212004227732
edlin,2019.0,1,0.31053248,0.9899212004227732
edlin,2020.0,2,0.20177762,0.9899212004227732
answer reranking,2002.0,1,1.0,0.6665280733892519
answer reranking,2014.0,1,0.11675191,0.6665280733892519
answer reranking,2015.0,1,0.24776651,0.6665280733892519
answer reranking,2016.0,1,0.46894422,0.6665280733892519
answer reranking,2017.0,1,0.7904651,0.6665280733892519
answer reranking,2021.0,2,2.0,0.6665280733892519
lapps,2016.0,1,0.94473314,0.88994463976916
lapps,2018.0,2,2.0,0.88994463976916
lapps,2020.0,1,0.94473314,0.88994463976916
focus annotation,2014.0,1,0.94473314,0.88994463976916
focus annotation,2016.0,2,2.0,0.88994463976916
focus annotation,2018.0,1,0.94473314,0.88994463976916
learn,1980.0,1,0.011445243,0.7292781701764404
learn,1982.0,2,0.094246045,0.7292781701764404
learn,1984.0,1,0.48578155,0.7292781701764404
learn,1986.0,4,1.5678116,0.7292781701764404
learn,1988.0,4,3.1785471,0.7292781701764404
learn,1989.0,2,3.8260021,0.7292781701764404
learn,1990.0,4,4.1831236,0.7292781701764404
learn,1991.0,3,4.3296514,0.7292781701764404
learn,1992.0,8,4.6725583,0.7292781701764404
learn,1993.0,3,5.991215,0.7292781701764404
learn,1994.0,13,9.339339,0.7292781701764404
wording,2014.0,1,1.0,0.9211820249861271
wording,2015.0,1,0.9726491,0.9211820249861271
learn,1995.0,9,15.727162,0.7292781701764404
wording,2020.0,1,0.36848825,0.9211820249861271
learn,1996.0,23,25.560205,0.7292781701764404
learn,1997.0,22,38.007977,0.7292781701764404
learn,1998.0,45,50.730125,0.7292781701764404
learn,1999.0,30,60.40328,0.7292781701764404
learn,2000.0,64,64.050156,0.7292781701764404
learn,2001.0,41,60.511734,0.7292781701764404
learn,2002.0,59,51.14422,0.7292781701764404
learn,2003.0,61,39.33064,0.7292781701764404
learn,2004.0,67,29.268394,0.7292781701764404
learn,2005.0,71,24.897959,0.7292781701764404
learn,2006.0,90,29.389914,0.7292781701764404
learn,2007.0,82,44.80528,0.7292781701764404
learn,2008.0,110,71.28119,0.7292781701764404
learn,2009.0,135,105.78676,0.7292781701764404
learn,2010.0,145,141.59288,0.7292781701764404
learn,2011.0,110,169.92558,0.7292781701764404
learn,2012.0,178,184.09068,0.7292781701764404
learn,2013.0,168,184.32396,0.7292781701764404
learn,2014.0,198,180.41534,0.7292781701764404
learn,2015.0,190,189.84332,0.7292781701764404
learn,2016.0,305,231.17279,0.7292781701764404
learn,2017.0,303,314.6357,0.7292781701764404
learn,2018.0,432,433.6629,0.7292781701764404
learn,2019.0,522,562.3232,0.7292781701764404
learn,2020.0,622,662.4897,0.7292781701764404
learn,2021.0,698,699.5497,0.7292781701764404
comet,1974.0,1,0.19302583,0.5403820084085407
comet,1978.0,1,0.30466628,0.5403820084085407
comet,2013.0,2,2.8153324,0.5403820084085407
comet,2019.0,1,2.9961128,0.5403820084085407
comet,2020.0,3,3.0,0.5403820084085407
comet,2021.0,1,2.9961128,0.5403820084085407
learn,2022.0,584,658.8051,0.7292781701764404
comet,2022.0,4,2.9844813,0.5403820084085407
quantitative information,2016.0,1,1.0,0.9909005173204605
quantitative information,2017.0,1,0.47236657,0.9909005173204605
quantitative information,2018.0,1,0.049787067,0.9909005173204605
motions,2004.0,3,0.5177141,0.6339456531829104
motions,2005.0,2,0.81521255,0.6339456531829104
motions,2006.0,5,1.2466094,0.6339456531829104
motions,2008.0,2,2.6698415,0.6339456531829104
motions,2009.0,2,3.7392204,0.6339456531829104
motions,2010.0,9,5.085752,0.6339456531829104
motions,2011.0,3,6.717506,0.6339456531829104
motions,2012.0,7,8.616671,0.6339456531829104
motions,2013.0,4,10.733704,0.6339456531829104
motions,2014.0,2,12.984893,0.6339456531829104
motions,2015.0,3,15.254776,0.6339456531829104
motions,2016.0,12,17.404112,0.6339456531829104
motions,2017.0,4,19.283089,0.6339456531829104
motions,2018.0,22,20.74818,0.6339456531829104
motions,2019.0,8,21.680138,0.6339456531829104
motions,2020.0,22,22.0,0.6339456531829104
motions,2021.0,10,21.680138,0.6339456531829104
motions,2022.0,15,20.74818,0.6339456531829104
minimally supervised learning,2008.0,1,1.0,0.7410841076771486
minimally supervised learning,2009.0,1,0.9978369,0.7410841076771486
minimally supervised learning,2019.0,2,0.7694992,0.7410841076771486
neu,1973.0,1,1.0,0.9783479460560939
neu,1975.0,1,0.7233908,0.9783479460560939
neu,1984.0,1,0.21703511,0.9783479460560939
neu,1990.0,4,4.039361,0.9783479460560939
neu,1991.0,2,3.8215153,0.9783479460560939
neu,1992.0,3,3.2732754,0.9783479460560939
neu,1994.0,5,3.0122051,0.9783479460560939
neu,1995.0,2,3.9068313,0.9783479460560939
neu,1996.0,1,5.2807145,0.9783479460560939
neu,1997.0,4,6.5314236,0.9783479460560939
neu,1998.0,7,7.0225267,0.9783479460560939
neu,1999.0,1,6.461572,0.9783479460560939
neu,2000.0,4,5.066176,0.9783479460560939
neu,2001.0,1,3.3841174,0.9783479460560939
neu,2002.0,5,1.939385,0.9783479460560939
neu,2003.0,3,1.0008421,0.9783479460560939
neu,2004.0,4,0.59678334,0.9783479460560939
neu,2005.0,3,0.6619963,0.9783479460560939
